Rk,Year,Player,Pos,AV,School,College,HE,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2012,Trevin Wade,CB,5,Arizona,College Stats,10-May,5'10,192,4.52,34.5,18,116,6.87,4,Cleveland Browns / 7th / 245th pick / 2012
2,2012,Ryan Steed,CB,0,Furman,,10-May,5'10,195,4.64,34,12,121,6.94,4.22,
3,2012,Coty Sensabaugh,CB,21,Clemson,College Stats,11-May,5'11,189,4.33,37,15,122,6.6,4.06,Tennessee Titans / 4th / 115th pick / 2012
4,2012,Josh Robinson,CB,12,Central Florida,College Stats,10-May,5'10,199,4.29,38.5,17,133,6.55,3.97,Minnesota Vikings / 3rd / 66th pick / 2012
5,2012,Shaun Prater,CB,2,Iowa,College Stats,10-May,5'10,190,4.5,,14,,,,Cincinnati Bengals / 5th / 156th pick / 2012
6,2012,Chaz Powell,CB,0,Penn State,College Stats,1-Jun,6'1,203,4.42,33,17,121,6.84,4.16,
7,2012,Micah Pellerin,CB,0,Hampton,,1-Jun,6'1,194,4.52,33,14,116,,,
8,2012,Josh Norman,CB,41,Coastal Carolina,,1-Jun,6'1,197,4.61,33,14,124,7.09,4.23,Carolina Panthers / 5th / 143rd pick / 2012
9,2012,Chase Minnifield,CB,1,Virginia,College Stats,10-May,5'10,183,4.63,,7,,,,
10,2012,DeQuan Menzie,CB,0,Alabama,College Stats,11-May,5'11,202,4.65,33,,116,,,Kansas City Chiefs / 5th / 146th pick / 2012
11,2012,Dre Kirkpatrick,CB,28,Alabama,College Stats,2-Jun,6'2,186,4.5,35,,120,,,Cincinnati Bengals / 1st / 17th pick / 2012
12,2012,Trumaine Johnson,CB,34,Montana,,2-Jun,6'2,204,4.5,35.5,19,122,7.2,4.15,St. Louis Rams / 3rd / 65th pick / 2012
13,2012,Leonard Johnson,CB,14,Iowa State,College Stats,10-May,5'10,196,4.62,32,15,120,6.96,4.15,
14,2012,Janoris Jenkins,CB,48,North Alabama,College Stats,10-May,5'10,193,4.41,33.5,,121,6.95,4.13,St. Louis Rams / 2nd / 39th pick / 2012
15,2012,Asa Jackson,CB,3,Cal Poly,,10-May,5'10,191,4.48,34.5,19,118,6.97,4.03,Baltimore Ravens / 5th / 169th pick / 2012
16,2012,Jayron Hosley,CB,7,Virginia Tech,College Stats,10-May,5'10,178,4.38,,11,,,,New York Giants / 3rd / 94th pick / 2012
17,2012,Casey Hayward,CB,39,Vanderbilt,College Stats,11-May,5'11,192,4.47,34,19,119,6.76,3.9,Green Bay Packers / 2nd / 62nd pick / 2012
18,2012,Mike Harris,CB,9,Florida State,College Stats,10-May,5'10,188,4.52,36,,117,6.81,4.07,Jacksonville Jaguars / 6th / 176th pick / 2012
19,2012,Cliff Harris,CB,,Oregon,College Stats,11-May,5'11,175,4.61,36,14,118,6.79,4.19,
20,2012,Stephon Gilmore,CB,47,South Carolina,College Stats,1-Jun,6'1,190,4.38,36,15,123,6.61,3.94,Buffalo Bills / 1st / 10th pick / 2012
21,2012,Terrence Frederick,CB,1,Texas A&M,College Stats,10-May,5'10,187,4.44,35,16,121,6.59,4.03,Pittsburgh Steelers / 7th / 246th pick / 2012
22,2012,Jamell Fleming,CB,5,Oklahoma,College Stats,11-May,5'11,206,4.43,34,23,125,6.71,3.97,Arizona Cardinals / 3rd / 80th pick / 2012
23,2012,Alfonzo Dennard,CB,8,Nebraska,College Stats,10-May,5'10,204,4.48,37,,121,,,New England Patriots / 7th / 224th pick / 2012
24,2012,Morris Claiborne,CB,27,LSU,College Stats,11-May,5'11,188,4.5,34.5,,118,7.01,4.12,Dallas Cowboys / 1st / 6th pick / 2012
25,2012,Ron Brooks,CB,6,LSU,College Stats,10-May,5'10,190,4.37,38,12,120,,,Buffalo Bills / 4th / 124th pick / 2012
26,2012,Brandon Boykin,CB,9,Georgia,College Stats,9-May,5'9,182,4.44,,,,,,Philadelphia Eagles / 4th / 123rd pick / 2012
27,2012,Omar Bolden,CB,5,Arizona State,College Stats,10-May,5'10,202,4.51,,24,,,,Denver Broncos / 4th / 101st pick / 2012
28,2012,Robert Blanton,CB,10,Notre Dame,College Stats,1-Jun,6'1,208,4.66,34,12,116,6.71,3.97,Minnesota Vikings / 5th / 139th pick / 2012
29,2012,Bill Bentley,CB,3,Colorado,,10-May,5'10,182,4.42,31.5,13,114,6.99,4.5,Detroit Lions / 3rd / 85th pick / 2012
30,2012,Charles Brown,CB,,North Carolina,College Stats,9-May,5'9,202,4.53,35.5,18,114,6.94,4.06,
31,2012,Antonio Fenelus,CB,,Wisconsin,College Stats,8-May,5'8,190,4.57,32,20,109,6.8,4.2,
32,2012,Jeremy Jones,CB,,Wayne State (MI),,9-May,5'9,197,4.56,31.5,20,116,7.14,4.18,
33,2012,Coryell Judie,CB,,Texas A&M,College Stats,1-Jun,6'1,194,4.45,37,,126,7.33,4.25,
34,2012,D'Anton Lynn,CB,,Penn State,College Stats,1-Jun,6'1,206,4.71,31.5,17,111,,,
35,2012,DeAndre Presley,CB,,Appalachian State,,10-May,5'10,185,4.53,32,8,114,7.19,4.28,
36,2012,Antwuan Reed,CB,,Pittsburgh,College Stats,10-May,5'10,188,4.58,36.5,14,124,,4.2,
37,2011,Shareece Wright,CB,20,Southern California,College Stats,11-May,5'11,185,4.41,34.5,16,113,,,San Diego Chargers / 3rd / 89th pick / 2011
38,2011,Aaron Williams,CB,19,Texas,College Stats,1-Jun,6'1,204,4.55,37.5,18,127,6.72,4.07,Buffalo Bills / 2nd / 34th pick / 2011
39,2011,Demarcus Van Dyke,CB,3,Miami (FL),College Stats,1-Jun,6'1,176,4.28,33.5,5,121,6.97,4.09,Oakland Raiders / 3rd / 81st pick / 2011
40,2011,Josh Thomas,CB,7,Buffalo,College Stats,10-May,5'10,191,4.46,38.5,13,126,6.99,4.15,Dallas Cowboys / 5th / 143rd pick / 2011
41,2011,Brandyn Thompson,CB,1,Boise State,College Stats,9-May,5'9,189,4.5,33.5,13,114,6.66,4.12,Washington Redskins / 7th / 213th pick / 2011
42,2011,Jimmy Smith,CB,35,Colorado,College Stats,2-Jun,6'2,211,4.42,36,24,123,6.93,4.06,Baltimore Ravens / 1st / 27th pick / 2011
43,2011,Buster Skrine,CB,35,Chattanooga,,9-May,5'9,186,4.37,37,20,122,6.44,3.9,Cleveland Browns / 5th / 137th pick / 2011
44,2011,Richard Sherman,CB,91,Stanford,College Stats,3-Jun,6'3,195,4.54,38,16,125,6.82,4.33,Seattle Seahawks / 5th / 154th pick / 2011
45,2011,Kevin Rutland,CB,4,Missouri,College Stats,1-Jun,6'1,190,4.58,35.5,12,118,6.92,4.15,
46,2011,Chris Rucker,CB,2,Michigan State,,1-Jun,6'1,195,4.54,,10,,,,Indianapolis Colts / 6th / 188th pick / 2011
47,2011,Justin Rogers,CB,4,Richmond,,10-May,5'10,180,4.45,33,14,114,7.21,4.2,Buffalo Bills / 7th / 206th pick / 2011
48,2011,Patrick Peterson,CB,97,LSU,College Stats,1-Jun,6'1,219,4.31,38,15,126,6.58,4.07,Arizona Cardinals / 1st / 5th pick / 2011
49,2011,Johnny Patrick,CB,4,Louisville,College Stats,11-May,5'11,191,4.59,32,13,110,,4.16,New Orleans Saints / 3rd / 88th pick / 2011
50,2011,Byron Maxwell,CB,24,Clemson,College Stats,1-Jun,6'1,202,4.43,33,24,124,,,Seattle Seahawks / 6th / 173rd pick / 2011
51,2011,Curtis Marsh,CB,1,Utah State,College Stats,Jun-00,6'1,197,4.42,37.5,12,123,6.87,4.07,Philadelphia Eagles / 3rd / 90th pick / 2011
52,2011,Davon House,CB,18,New Mexico State,College Stats,1-Jun,6'1,200,4.44,33.5,14,109,6.65,4.12,Green Bay Packers / 4th / 131st pick / 2011
53,2011,Brandon Hogan,CB,0,West Virginia,College Stats,May-19,5'10,192,4.43,,19,,,,Carolina Panthers / 4th / 98th pick / 2011
54,2011,Brandon Harris,CB,3,Miami (FL),College Stats,9-May,5'9,191,4.46,35.5,13,113,6.77,4.12,Houston Texans / 2nd / 60th pick / 2011
55,2011,Marcus Gilchrist,CB,37,Clemson,College Stats,10-May,5'10,195,4.45,38.5,26,119,6.81,4.12,San Diego Chargers / 2nd / 50th pick / 2011
56,2011,Ras-I Dowling,CB,1,Virginia,College Stats,Jun-19,6'1,198,4.4,,19,,,,New England Patriots / 2nd / 33rd pick / 2011
57,2011,Chris Culliver,CB,13,South Carolina,College Stats,1-Jun,6'1,199,4.36,38.5,,123,6.88,4.08,San Francisco 49ers / 3rd / 80th pick / 2011
58,2011,Chimdi Chekwa,CB,2,Ohio State,College Stats,1-Jun,6'1,191,4.38,34.5,,126,,,Oakland Raiders / 4th / 113th pick / 2011
59,2011,Roc Carmichael,CB,,Clemson,College Stats,10-May,5'10,192,4.41,31,13,116,6.69,4.06,
60,2011,Mario Butler,CB,1,Georgia Tech,College Stats,Jun-00,6'1,182,4.65,30.5,,120,7.09,4.37,
61,2011,Brandon Burton,CB,1,Utah,College Stats,1-Jun,6'1,190,4.5,32,18,118,6.93,4.07,Minnesota Vikings / 5th / 139th pick / 2011
62,2011,Kendric Burney,CB,0,North Carolina,College Stats,May-19,5'9,186,4.71,32.5,14,112,,,
63,2011,Jalil Brown,CB,4,Colorado,College Stats,1-Jun,6'1,204,4.52,35.5,24,116,6.85,4.25,Kansas City Chiefs / 4th / 118th pick / 2011
64,2011,Curtis Brown,CB,2,Texas,College Stats,Jun-00,6'1,185,4.51,39.5,10,128,6.59,4,Pittsburgh Steelers / 3rd / 95th pick / 2011
65,2011,Chykie Brown,CB,5,Texas,College Stats,11-May,5'11,190,4.49,36.5,,120,6.5,4,Baltimore Ravens / 5th / 164th pick / 2011
66,2011,Prince Amukamara,CB,34,Nebraska,College Stats,Jun-00,6'1,206,4.38,38,15,128,6.97,4.08,New York Giants / 1st / 19th pick / 2011
67,2011,Cortez Allen,CB,11,Citadel,,1-Jun,6'1,197,4.5,35.5,18,129,6.76,4.01,Pittsburgh Steelers / 4th / 128th pick / 2011
68,2011,Devon Torrence,CB,,Ohio State,College Stats,1-Jun,6'1,199,4.68,33,,111,6.95,4.09,
69,2011,Niles Brinkley,CB,,Wisconsin,College Stats,9-May,5'9,193,4.54,33.5,15,120,7.23,,
70,2011,Vance Cuff,CB,,Georgia,College Stats,10-May,5'10,178,4.53,36,,120,6.91,4.09,
71,2011,Andrew McGee,CB,,Oklahoma State,College Stats,11-May,5'11,195,4.71,34,,117,,,
72,2010,Kyle Wilson,CB,16,Boise State,College Stats,10-May,5'10,194,4.43,,25,,,,New York Jets / 1st / 29th pick / 2010
73,2010,Jamar Wall,CB,0,Texas Tech,College Stats,10-May,5'10,204,4.52,,15,,,,Dallas Cowboys / 6th / 196th pick / 2010
74,2010,Alterraun Verner,CB,37,UCLA,College Stats,10-May,5'10,189,4.52,32,11,116,6.7,4.12,Tennessee Titans / 4th / 104th pick / 2010
75,2010,Walter Thurmond,CB,12,Oregon,College Stats,11-May,5'11,189,4.53,,,,,,Seattle Seahawks / 4th / 111th pick / 2010
76,2010,Syd'Quan Thompson,CB,1,California,College Stats,9-May,5'9,186,4.75,33,,117,6.73,4.26,Denver Broncos / 7th / 225th pick / 2010
77,2010,Kevin Thomas,CB,2,Southern California,College Stats,1-Jun,6'1,192,4.41,34.5,19,126,6.82,4.18,Indianapolis Colts / 3rd / 94th pick / 2010
78,2010,Earl Thomas,CB,85,Texas,College Stats,May-19,5'10,208,4.43,,21,113,,,Seattle Seahawks / 1st / 14th pick / 2010
79,2010,Amari Spievey,CB,12,Iowa,College Stats,11-May,5'11,195,4.52,35,,116,,,Detroit Lions / 3rd / 66th pick / 2010
80,2010,Patrick Robinson,CB,25,Florida State,College Stats,11-May,5'11,190,4.46,39,15,122,6.78,,New Orleans Saints / 1st / 32nd pick / 2010
81,2010,David Pender,CB,0,Purdue,College Stats,1-Jun,6'1,180,4.37,39,8,124,,,
82,2010,Akwasi Owusu-Ansah,CB,1,Indiana (PA),,Jun-00,6'1,207,4.32,35.5,,120,6.84,4.32,Dallas Cowboys / 4th / 126th pick / 2010
83,2010,Jerome Murphy,CB,3,South Florida,College Stats,1-Jun,6'1,196,4.5,38,16,127,6.87,4.05,St. Louis Rams / 3rd / 65th pick / 2010
