Rk,Year,Player,Pos,AV,School,College,HE,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2012,Jerel Worthy,DT,4,Michigan State,College Stats,2-Jun,6'2,308,5,28.5,,107,7.6,4.56,Green Bay Packers / 2nd / 51st pick / 2012
2,2012,Derek Wolfe,DT,48,Cincinnati,College Stats,5-Jun,6'5,295,4.93,33.5,33,108,7.26,4.44,Denver Broncos / 2nd / 36th pick / 2012
3,2012,Billy Winn,DE,16,Boise State,College Stats,4-Jun,6'4,294,4.86,27,24,107,7.37,4.44,Cleveland Browns / 6th / 205th pick / 2012
4,2012,Olivier Vernon,DE,52,Miami (FL),College Stats,2-Jun,6'2,261,4.73,34.5,31,122,7.39,4.5,Miami Dolphins / 3rd / 72nd pick / 2012
5,2012,Courtney Upshaw,DE,27,Alabama,College Stats,2-Jun,6'2,272,4.74,,22,,,,Baltimore Ravens / 2nd / 35th pick / 2012
6,2012,DeAngelo Tyson,DT,6,Georgia,College Stats,2-Jun,6'2,315,5,,,,,,Baltimore Ravens / 7th / 236th pick / 2012
7,2012,Christian Tupou,DT,0,Southern California,College Stats,2-Jun,6'2,289,5.38,24,30,92,8.07,4.87,
8,2012,Brandon Thompson,DT,7,Clemson,College Stats,2-Jun,6'2,314,5.2,31,35,100,7.97,4.71,Cincinnati Bengals / 3rd / 93rd pick / 2012
9,2012,Alameda Ta'amu,DT,3,Washington,College Stats,2-Jun,6'2,348,5.3,26,35,103,,,Pittsburgh Steelers / 4th / 109th pick / 2012
10,2012,J.R. Sweezy,DT,41,North Carolina State,College Stats,5-Jun,6'5,298,4.97,36,21,113,7.4,4.41,Seattle Seahawks / 7th / 225th pick / 2012
11,2012,Devon Still,DT,3,Penn State,College Stats,5-Jun,6'5,303,5.01,29.5,26,,,,Cincinnati Bengals / 2nd / 53rd pick / 2012
12,2012,Scott Solomon,DE,2,Rice,College Stats,3-Jun,6'3,262,4.88,35,34,124,7.17,4.25,Tennessee Titans / 7th / 211th pick / 2012
13,2012,Jacquies Smith,DE,9,Missouri,College Stats,3-Jun,6'3,253,4.75,31.5,21,110,7.25,4.31,
14,2012,Derrick Shelby,DE,19,Utah,College Stats,3-Jun,6'3,266,4.87,35.5,26,116,7.09,4.5,
