Rk,Year,Player,Pos,AV,School,College,HE,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2015,Jermaine Whitehead,FS,2,Auburn,College Stats,11-May,5'11,197,4.59,37,15,128,6.95,4.11,
2,2015,Derron Smith,FS,3,Fresno State,College Stats,10-May,5'10,200,4.61,,,,,,Cincinnati Bengals / 6th / 197th pick / 2015
3,2015,Damarious Randall,FS,19,Arizona State,College Stats,11-May,5'11,196,4.46,38,14,120,6.83,4.07,Green Bay Packers / 1st / 30th pick / 2015
4,2015,Cody Prewitt,FS,,Mississippi,College Stats,2-Jun,6'2,208,4.6,35,11,125,7.12,4.23,
5,2015,Tevin McDonald,FS,0,Eastern Washington,,11-May,5'11,195,4.63,33,19,112,7.01,4.26,
6,2015,Dean Marlowe,FS,0,James Madison,,1-Jun,6'1,203,4.58,33.5,16,114,7,4.18,
7,2015,Gerod Holliman,FS,,Louisville,College Stats,1-Jun,6'1,218,4.62,,17,,,,Pittsburgh Steelers / 7th / 239th pick / 2015
8,2015,Anthony Harris,FS,,Virginia,College Stats,1-Jun,6'1,183,4.56,,,,,,
9,2015,Chris Hackett,FS,,TCU,College Stats,1-Jun,6'1,195,4.81,32,,110,7.12,4.2,
10,2015,Ladarius Gunter,FS,4,Miami (FL),College Stats,1-Jun,6'1,202,4.62,33.5,12,108,7.18,4.41,
11,2015,Durell Eskridge,FS,,Syracuse,College Stats,3-Jun,6'3,208,4.56,31,,117,7.09,4.26,
12,2015,Kurtis Drummond,FS,2,Michigan State,College Stats,1-Jun,6'1,208,4.65,39.5,,119,7.09,4.33,
13,2015,Detrick Bonner,FS,,Virginia Tech,College Stats,1-Jun,6'1,207,4.56,,15,,,,
14,2015,Adrian Amos,FS,21,Penn State,College Stats,1-Jun,6'1,218,4.56,35.5,,122,7.09,4.03,Chicago Bears / 5th / 142nd pick / 2015
15,2014,Ed Reynolds,FS,3,Stanford,College Stats,1-Jun,6'1,207,4.57,32.5,15,117,,,Philadelphia Eagles / 5th / 162nd pick / 2014
16,2014,Calvin Pryor,FS,15,Louisville,College Stats,11-May,5'11,207,4.58,34.5,18,116,,,New York Jets / 1st / 18th pick / 2014
17,2014,Kenny Ladler,FS,0,Vanderbilt,College Stats,1-Jun,6'1,207,4.7,36.5,24,127,,,
