Rk,Year,Player,Pos,AV,School,College,HE,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2015,Jameis Winston,QB,44,Florida State,College Stats,43620,6'4,231,4.97,28.5,,103,7.16,4.36,Tampa Bay Buccaneers / 1st / 1st pick / 2015
2,2015,Blake Sims,QB,,Alabama,College Stats,43596,5'11,218,4.57,30.5,,115,,,
3,2015,Bryce Petty,QB,4,Baylor,College Stats,43619,6'3,230,4.87,34,,121,6.91,4.13,New York Jets / 4th / 103rd pick / 2015
4,2015,Marcus Mariota,QB,43,Oregon,College Stats,43620,6'4,222,4.52,36,,121,6.87,4.11,Tennessee Titans / 1st / 2nd pick / 2015
5,2015,Sean Mannion,QB,1,Oregon State,College Stats,43622,6'6,229,5.14,31,,105,7.29,4.39,St. Louis Rams / 3rd / 89th pick / 2015
6,2015,Brett Hundley,QB,5,UCLA,College Stats,43619,6'3,226,4.63,36,,120,6.93,3.98,Green Bay Packers / 5th / 147th pick / 2015
7,2015,Connor Halliday,QB,,Washington State,College Stats,43619,6'3,204,4.87,,,,,,
8,2015,Garrett Grayson,QB,0,Colorado State,College Stats,43618,6'2,213,4.75,,,,,,New Orleans Saints / 3rd / 75th pick / 2015
9,2015,Cody Fajardo,QB,,Nevada,College Stats,43617,6'1,223,4.63,32.5,,118,6.95,4.1,
10,2015,Shane Carden,QB,,East Carolina,College Stats,43618,6'2,218,4.94,29.5,,104,7.17,4.45,
11,2015,Brandon Bridge,QB,,South Alabama,College Stats,43620,6'4,229,4.72,33,,110,7.18,4.37,
12,2015,Anthony Boone,QB,,Duke,College Stats,36678,6'1,231,5.03,26.5,,100,7.47,4.62,
13,2015,Bryan Bennett,QB,,Southeastern Louisiana,,43618,6'2,211,4.81,37,,125,7.13,4.2,
14,2015,Jerry Lovelocke,QB,,Prairie View A&M,,43620,6'4,248,4.99,31.5,,113,7.3,4.51,
15,2014,Keith Wenning,QB,,Ball State,College Stats,43619,6'3,218,5,28,,100,7.07,4.25,Baltimore Ravens / 6th / 194th pick / 2014
16,2014,Dustin Vaughan,QB,,West Texas A&M,,43621,6'5,235,4.95,29,,108,7.25,4.43,
17,2014,Logan Thomas,QB,2,Virginia Tech,College Stats,43622,6'6,248,4.61,35.5,,118,7.05,4.18,Arizona Cardinals / 4th / 120th pick / 2014
18,2014,Connor Shaw,QB,0,South Carolina,College Stats,36678,6'1,206,4.66,34,,116,7.07,4.33,
19,2014,Tom Savage,QB,4,Pittsburgh,College Stats,43620,6'4,228,4.97,27,,105,7.33,4.36,Houston Texans / 4th / 135th pick / 2014
20,2014,Bryn Renner,QB,,North Carolina,College Stats,43619,6'3,228,4.87,25.5,,108,7.22,4.3,
21,2014,Aaron Murray,QB,,Georgia,College Stats,36678,6'1,207,4.84,,,,,,Kansas City Chiefs / 5th / 163rd pick / 2014
22,2014,Stephen Morris,QB,,Miami (FL),College Stats,43618,6'2,213,4.63,30,,111,7.36,4.49,
23,2014,Zach Mettenberger,QB,1,LSU,College Stats,43621,6'5,224,,,,,,,Tennessee Titans / 6th / 178th pick / 2014
24,2014,A.J. McCarron,QB,3,Alabama,College Stats,43619,6'3,220,4.94,28,,99,7.18,4.34,Cincinnati Bengals / 5th / 164th pick / 2014
25,2014,Johnny Manziel,QB,5,Texas A&M,College Stats,36678,6'1,207,4.68,31.5,,113,6.75,4.03,Cleveland Browns / 1st / 22nd pick / 2014
26,2014,Jordan Lynch,QB,,Northern Illinois,College Stats,36678,6'1,217,4.76,29.5,,109,6.55,4.2,
27,2014,Jimmy Garoppolo,QB,10,Eastern Illinois,,43618,6'2,226,4.97,30.5,,110,7.04,4.26,New England Patriots / 2nd / 62nd pick / 2014
28,2014,David Fales,QB,1,San Jose State,College Stats,43618,6'2,212,4.99,28,,103,7.55,4.5,Chicago Bears / 6th / 183rd pick / 2014
29,2014,Derek Carr,QB,50,Fresno State,College Stats,43618,6'2,214,4.69,34.5,,110,,4.2,Oakland Raiders / 2nd / 36th pick / 2014
30,2014,Teddy Bridgewater,QB,23,Louisville,College Stats,43618,6'2,214,,30,,113,7.17,4.2,Minnesota Vikings / 1st / 32nd pick / 2014
31,2014,Tajh Boyd,QB,,Clemson,College Stats,43617,6'1,222,4.84,30.5,,106,7.33,4.23,New York Jets / 6th / 213th pick / 2014
