Rk,Year,Player,Pos,AV,School,College,HE,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2015,T.J. Yeldon,RB,20,Alabama,College Stats,43617,6'1,226,4.61,36,22,117,7.19,4.22,Jacksonville Jaguars / 2nd / 36th pick / 2015
2,2015,Trey Williams,RB,0,Texas A&M,College Stats,7-May,5'7,195,4.49,33.5,18,119,6.84,4.12,
3,2015,Karlos Williams,RB,4,Florida State,College Stats,1-Jun,6'1,230,4.48,33.5,16,117,7.16,4.46,Buffalo Bills / 5th / 155th pick / 2015
4,2015,Josh Robinson,RB,0,Mississippi State,College Stats,8-May,5'8,217,4.7,32,21,113,,,Indianapolis Colts / 6th / 205th pick / 2015
5,2015,Thomas Rawls,RB,12,Central Michigan,College Stats,9-May,5'9,215,4.65,35.5,15,116,,,
6,2015,Marcus Murphy,RB,2,Missouri,College Stats,9-May,5'9,198,4.61,29,11,109,,4.4,New Orleans Saints / 7th / 230th pick / 2015
7,2015,Terrence Magee,RB,0,LSU,College Stats,8-May,5'8,213,4.62,37,22,115,7.52,4.37,
8,2015,Jeremy Langford,RB,8,Michigan State,College Stats,Jun-00,6'1,208,4.42,34.5,,118,7.22,4.32,Chicago Bears / 4th / 106th pick / 2015
9,2015,Matt Jones,RB,10,Florida,College Stats,2-Jun,6'2,231,4.61,31.5,20,112,,4.2,Washington Redskins / 3rd / 95th pick / 2015
10,2015,Duke Johnson,RB,20,Miami (FL),College Stats,9-May,5'9,207,4.54,33.5,,121,,,Cleveland Browns / 3rd / 77th pick / 2015
11,2015,Kenny Hilliard,RB,,LSU,College Stats,Jun-00,6'1,226,4.83,27,,111,7.17,4.4,Houston Texans / 7th / 235th pick / 2015
12,2015,Dee Hart,RB,,Colorado State,College Stats,7-May,5'7,199,4.8,33,,113,7.2,4.38,
13,2015,Todd Gurley,RB,47,Georgia,College Stats,1-Jun,6'1,222,4.52,,17,,,,St. Louis Rams / 1st / 10th pick / 2015
14,2015,Melvin Gordon,RB,36,Wisconsin,College Stats,1-Jun,6'1,215,4.52,35,19,126,7.04,4.07,San Diego Chargers / 1st / 15th pick / 2015
15,2015,Jahwan Edwards,RB,,Ball State,College Stats,9-May,5'9,220,4.8,35.5,16,117,7.63,4.5,
16,2015,Michael Dyer,RB,,Louisville,College Stats,8-May,5'8,218,4.58,34,26,120,,,
17,2015,Mike Davis,RB,10,South Carolina,College Stats,9-May,5'9,217,4.61,34,17,116,7,4.18,San Francisco 49ers / 4th / 126th pick / 2015
18,2015,John Crockett,RB,0,North Dakota State,,Jun-00,6'1,217,4.62,40,15,125,7.15,4.25,
19,2015,Tevin Coleman,RB,27,Indiana,College Stats,11-May,5'11,206,4.4,,22,,,,Atlanta Falcons / 3rd / 73rd pick / 2015
20,2015,David Cobb,RB,1,Minnesota,College Stats,11-May,5'11,229,4.81,38.5,17,121,,,Tennessee Titans / 5th / 138th pick / 2015
21,2015,B.J. Catalon,RB,,TCU,College Stats,7-May,5'7,186,4.57,36,,114,6.9,4.15,
22,2015,Dominique Brown,RB,,Louisville,College Stats,2-Jun,6'2,234,4.63,,17,,,,
23,2015,Cameron Artis-Payne,RB,5,Auburn,College Stats,10-May,5'10,212,4.53,36.5,,118,7.13,,Carolina Panthers / 5th / 174th pick / 2015
24,2015,Javorius Allen,RB,14,Southern California,College Stats,Jun-00,6'1,221,4.53,35.5,11,121,6.96,4.28,Baltimore Ravens / 4th / 125th pick / 2015
25,2015,Jay Ajayi,RB,20,Boise State,College Stats,Jun-00,6'1,221,4.57,39,19,121,7.1,4.1,Miami Dolphins / 5th / 149th pick / 2015
26,2015,Ameer Abdullah,RB,11,Nebraska,College Stats,9-May,5'9,205,4.6,42.5,24,130,6.79,3.95,Detroit Lions / 2nd / 54th pick / 2015
27,2015,Malcolm Brown,RB,,Texas,College Stats,11-May,5'11,224,4.62,34.5,19,117,6.86,4.15,
28,2015,Braylon Heard,RB,,Kentucky,College Stats,10-May,5'10,198,4.63,30.5,19,116,7.19,4.4,
29,2015,David Johnson,RB,,Northern Iowa,,1-Jun,6'1,224,4.5,41.5,25,127,6.82,4.27,
30,2015,Gus Johnson,RB,,Stephen F. Austin,,10-May,5'10,215,4.7,36.5,26,120,7.09,4.13,
31,2014,Damien Williams,RB,12,Oklahoma,College Stats,11-May,5'11,222,4.45,35.5,16,121,7.37,4.25,
32,2014,Andre Williams,RB,7,Boston College,College Stats,11-May,5'11,230,4.56,38,,129,7.27,4.06,New York Giants / 4th / 113th pick / 2014
33,2014,"James Wilder, Jr.",RB,,Florida State,College Stats,3-Jun,6'3,232,4.65,35,18,121,6.92,4.24,
34,2014,James White,RB,29,Wisconsin,College Stats,9-May,5'9,204,4.57,32,23,114,7.05,4.2,New England Patriots / 4th / 130th pick / 2014
35,2014,Terrance West,RB,12,Towson,,9-May,5'9,225,4.56,33.5,16,120,,,Cleveland Browns / 3rd / 94th pick / 2014
36,2014,De'Anthony Thomas,RB,7,Nebraska,College Stats,9-May,5'9,174,4.39,32,8,124,,,Kansas City Chiefs / 4th / 124th pick / 2014
37,2014,Lorenzo Taliaferro,RB,3,Coastal Carolina,,Jun-00,6'1,229,4.58,33,18,118,6.88,4.22,Baltimore Ravens / 4th / 138th pick / 2014
38,2014,Jerome Smith,RB,0,Syracuse,College Stats,11-May,5'11,220,4.84,36,14,118,7.53,4.6,
39,2014,Charles Sims,RB,14,West Virginia,College Stats,Jun-00,6'1,214,4.48,37.5,17,126,7.16,4.3,Tampa Bay Buccaneers / 3rd / 69th pick / 2014
40,2014,Lache Seastrunk,RB,,Baylor,College Stats,9-May,5'9,201,4.51,41.5,15,134,,,Washington Redskins / 6th / 186th pick / 2014
41,2014,Bishop Sankey,RB,6,Washington,College Stats,9-May,5'9,209,4.49,35.5,26,126,6.75,4,Tennessee Titans / 2nd / 54th pick / 2014
42,2014,Silas Redd,RB,1,Southern California,College Stats,10-May,5'10,212,4.7,37,18,122,,,
43,2014,LaDarius Perkins,RB,,Mississippi State,College Stats,7-May,5'7,195,4.46,35.5,23,124,7.08,4.3,
44,2014,Jerick McKinnon,RB,22,Georgia Southern,,9-May,5'9,209,4.41,40.5,32,132,6.83,4.12,Minnesota Vikings / 3rd / 96th pick / 2014
45,2014,Tre Mason,RB,7,Auburn,College Stats,8-May,5'8,207,4.5,38.5,,126,,4.15,St. Louis Rams / 3rd / 75th pick / 2014
46,2014,Henry Josey,RB,,Missouri,College Stats,8-May,5'8,194,4.43,34.5,20,118,7.07,4.13,
47,2014,Storm Johnson,RB,0,Central Florida,College Stats,Jun-00,6'1,209,4.6,35.5,16,118,,,Jacksonville Jaguars / 7th / 222nd pick / 2014
48,2014,Carlos Hyde,RB,23,Ohio State,College Stats,Jun-00,6'1,230,4.62,34.5,19,114,,,San Francisco 49ers / 2nd / 57th pick / 2014
49,2014,Jeremy Hill,RB,22,LSU,College Stats,1-Jun,6'1,233,4.56,29,20,113,,,Cincinnati Bengals / 2nd / 55th pick / 2014
50,2014,Marion Grice,RB,0,Arizona State,College Stats,Jun-00,6'1,208,4.67,,,,,,San Diego Chargers / 6th / 201st pick / 2014
51,2014,Tyler Gaffney,RB,,Stanford,College Stats,11-May,5'11,220,4.49,36.5,,116,6.78,4.18,Carolina Panthers / 6th / 204th pick / 2014
52,2014,Devonta Freeman,RB,40,Florida State,College Stats,8-May,5'8,206,4.58,31.5,,118,7.11,4.26,Atlanta Falcons / 4th / 103rd pick / 2014
53,2014,David Fluellen,RB,0,Toledo,College Stats,11-May,5'11,224,4.72,36.5,,120,6.9,,
54,2014,Isaiah Crowell,RB,25,Alabama State,,11-May,5'11,224,4.57,38,23,117,,,
55,2014,Tim Cornett,RB,,UNLV,College Stats,Jun-00,6'1,209,4.48,34.5,,125,7.01,4.26,
56,2014,Ka'Deem Carey,RB,3,North Carolina State,College Stats,9-May,5'9,207,4.69,32.5,19,115,7.08,4.38,Chicago Bears / 4th / 117th pick / 2014
