Rk,Year,Player,Pos,AV,School,College,HE,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2015,Jaquiski Tartt,SS,12,Samford,,1-Jun,6'1,221,4.53,,,124,,,San Francisco 49ers / 2nd / 46th pick / 2015
2,2015,James Sample,SS,1,Louisville,College Stats,2-Jun,6'2,209,4.56,32.5,,123,7.04,,Jacksonville Jaguars / 4th / 104th pick / 2015
3,2015,Jordan Richards,SS,9,Stanford,College Stats,11-May,5'11,211,4.65,32,13,111,6.74,4.22,New England Patriots / 2nd / 64th pick / 2015
4,2015,Anthony Jefferson,SS,,UCLA,College Stats,1-Jun,6'1,198,4.72,33.5,15,116,7.18,4.15,
5,2015,Kyshoen Jarrett,SS,2,Virginia Tech,College Stats,10-May,5'10,200,4.57,33,21,109,6.95,4.4,Washington Redskins / 6th / 181st pick / 2015
6,2015,Clayton Geathers,SS,9,Central Florida,College Stats,2-Jun,6'2,218,4.55,37,22,120,7.21,4.27,Indianapolis Colts / 4th / 109th pick / 2015
7,2015,Landon Collins,SS,31,Alabama,College Stats,1-Jun,6'1,228,4.53,35,,120,7.38,4.33,New York Giants / 2nd / 33rd pick / 2015
8,2015,Ibraheim Campbell,SS,5,Northwestern,College Stats,11-May,5'11,208,4.52,,23,,,,Cleveland Browns / 4th / 115th pick / 2015
9,2014,Jimmie Ward,SS,11,Northern Illinois,College Stats,11-May,5'11,193,4.59,,9,,,,San Francisco 49ers / 1st / 30th pick / 2014
10,2014,Brock Vereen,SS,2,Minnesota,College Stats,1-Jun,6'1,199,4.47,34,25,117,6.9,4.07,Chicago Bears / 4th / 131st pick / 2014
11,2014,Vinnie Sunseri,SS,0,Alabama,College Stats,11-May,5'11,210,,,18,,,,New Orleans Saints / 5th / 167th pick / 2014
12,2014,Dezmen Southward,SS,1,Wisconsin,College Stats,1-Jun,6'1,211,4.38,,,,,,Atlanta Falcons / 3rd / 68th pick / 2014
13,2014,Daniel Sorensen,SS,,BYU,College Stats,1-Jun,6'1,205,4.67,32,13,114,6.47,3.95,
14,2014,Craig Loston,SS,1,LSU,College Stats,1-Jun,6'1,217,4.65,32.5,12,119,7.15,4.35,
15,2014,Isaiah Lewis,SS,,Michigan State,College Stats,10-May,5'10,211,4.6,36.5,15,122,7.05,4.47,
16,2014,Ahmad Dixon,SS,0,Baylor,College Stats,1-Jun,6'1,212,4.64,32,14,111,7.55,4.5,Dallas Cowboys / 7th / 248th pick / 2014
17,2014,Deone Bucannon,SS,26,Washington State,College Stats,1-Jun,6'1,211,4.49,36.5,19,125,6.96,4.26,Arizona Cardinals / 1st / 27th pick / 2014
18,2014,Tre Boston,SS,21,North Carolina,College Stats,1-Jun,6'1,204,4.58,35,18,116,7.04,4.31,Carolina Panthers / 4th / 128th pick / 2014
19,2014,Nat Berhe,SS,3,San Diego State,College Stats,10-May,5'10,193,4.71,35.5,15,117,7.08,4.22,New York Giants / 5th / 152nd pick / 2014
20,2014,Mo Alexander,SS,12,Utah State,College Stats,1-Jun,6'1,220,4.5,38,,123,7.05,4.51,St. Louis Rams / 4th / 110th pick / 2014
21,2013,Earl Wolff,SS,4,North Carolina State,College Stats,11-May,5'11,209,4.44,39,,134,,4.07,Philadelphia Eagles / 5th / 136th pick / 2013
22,2013,Shawn Williams,SS,21,Georgia,College Stats,1-Jun,6'1,213,4.46,36,25,120,7.01,4.25,Cincinnati Bengals / 3rd / 84th pick / 2013
23,2013,Duke Williams,SS,8,Nevada,College Stats,11-May,5'11,203,4.48,37.5,13,126,,4,Buffalo Bills / 4th / 105th pick / 2013
24,2013,J.J. Wilcox,SS,17,Georgia Southern,,1-Jun,6'1,213,4.57,35,17,124,7.02,4.09,Dallas Cowboys / 3rd / 80th pick / 2013
25,2013,Shamarko Thomas,SS,5,Syracuse,College Stats,9-May,5'9,213,4.42,40.5,28,133,,4.26,Pittsburgh Steelers / 4th / 111th pick / 2013
26,2013,Jawanza Starling,SS,0,Southern California,College Stats,1-Jun,6'1,202,4.64,36,17,122,6.68,4.34,
27,2013,Jamoris Slaughter,SS,,Notre Dame,College Stats,1-Jun,6'1,195,4.57,,,,,,Cleveland Browns / 6th / 175th pick / 2013
28,2013,Zeke Motta,SS,1,Notre Dame,College Stats,2-Jun,6'2,213,4.75,35.5,11,126,6.75,4.16,Atlanta Falcons / 7th / 244th pick / 2013
29,2013,Robert Lester,SS,,Alabama,College Stats,1-Jun,6'1,220,4.66,33.5,,117,,,
30,2013,Keelan Johnson,SS,0,Arizona State,College Stats,1-Jun,6'1,209,4.54,36.5,12,125,6.77,4.07,
31,2013,Matt Elam,SS,12,Florida,College Stats,10-May,5'10,208,4.43,35.5,17,118,,,Baltimore Ravens / 1st / 32nd pick / 2013
32,2013,Jonathan Cyprien,SS,26,Florida International,College Stats,1-Jun,6'1,217,4.64,38.5,,,,,Jacksonville Jaguars / 2nd / 33rd pick / 2013
33,2012,Corey White,SS,13,Samford,,11-May,5'11,206,4.53,37.5,15,126,6.72,4.22,New Orleans Saints / 5th / 162nd pick / 2012
34,2012,Brandon Taylor,SS,1,LSU,College Stats,11-May,5'11,209,4.52,33.5,,118,7.32,4.37,San Diego Chargers / 3rd / 73rd pick / 2012
35,2012,Harrison Smith,SS,57,Notre Dame,College Stats,2-Jun,6'2,213,4.54,34,19,122,6.63,4.12,Minnesota Vikings / 1st / 29th pick / 2012
36,2012,Sean Richardson,SS,1,Vanderbilt,College Stats,2-Jun,6'2,216,4.43,38.5,22,128,7.01,4.44,
37,2012,Cyhl Quarles,SS,0,Wake Forest,College Stats,1-Jun,6'1,213,4.54,32.5,19,119,7.21,4.32,
38,2012,Eddie Pleasant,SS,7,Oregon,College Stats,10-May,5'10,211,4.53,33.5,22,116,7.12,4.28,
39,2012,Charles Mitchell,SS,1,Mississippi State,College Stats,11-May,5'11,202,4.56,37,19,127,6.93,4.22,Atlanta Falcons / 6th / 192nd pick / 2012
40,2012,Jerron McMillian,SS,2,Maine,,11-May,5'11,203,4.47,36.5,17,120,6.69,4.22,Green Bay Packers / 4th / 133rd pick / 2012
41,2012,Kelcie McCray,SS,6,Arkansas State,College Stats,2-Jun,6'2,202,4.48,30.5,12,122,7,4.29,
42,2012,Duke Ihenacho,SS,9,San Jose State,College Stats,1-Jun,6'1,213,4.67,35,20,122,6.78,4.22,
43,2012,Delano Howell,SS,1,Stanford,College Stats,11-May,5'11,210,4.61,33,21,120,6.97,4.15,
44,2012,Winston Guy,SS,3,Kentucky,College Stats,1-Jun,6'1,218,4.62,,,,,,Seattle Seahawks / 6th / 181st pick / 2012
45,2012,Sean Cattouse,SS,0,California,College Stats,2-Jun,6'2,211,4.74,34,,114,6.99,4.15,
46,2012,Mark Barron,SS,38,Alabama,College Stats,1-Jun,6'1,213,4.54,,,,,,Tampa Bay Buccaneers / 1st / 7th pick / 2012
47,2012,Antonio Allen,SS,10,South Carolina,College Stats,1-Jun,6'1,210,4.58,34,17,118,7.02,4.25,New York Jets / 7th / 242nd pick / 2012
48,2012,Johnny Thomas,SS,,Oklahoma State,,10-May,5'10,206,4.57,35.5,20,123,7.01,4.25,
49,2011,David Sims,SS,1,Iowa State,College Stats,9-May,5'9,200,4.5,37.5,24,120,,4.28,
50,2011,Da'Norris Searcy,SS,28,North Carolina,College Stats,11-May,5'11,223,4.55,33,27,120,6.87,4.09,Buffalo Bills / 4th / 100th pick / 2011
51,2011,Tyler Sash,SS,1,Iowa,College Stats,1-Jun,6'1,211,4.62,33,11,108,6.9,4.27,New York Giants / 6th / 198th pick / 2011
52,2011,Joe Lefeged,SS,4,Rutgers,College Stats,Jun-00,6'1,210,4.42,36.5,18,122,6.82,4.13,
53,2011,Shiloh Keo,SS,10,Idaho,College Stats,11-May,5'11,219,4.74,32.5,24,110,6.55,3.9,Houston Texans / 5th / 144th pick / 2011
54,2011,Jeron Johnson,SS,3,Boise State,College Stats,May-19,5'10,212,4.51,,23,,,,
55,2011,Jermale Hines,SS,0,Ohio State,College Stats,1-Jun,6'1,219,4.59,31,19,,6.9,4.21,St. Louis Rams / 5th / 158th pick / 2011
56,2011,DeJon Gomes,SS,5,Nebraska,College Stats,May-19,5'11,208,4.5,31,13,110,,,Washington Redskins / 5th / 146th pick / 2011
57,2011,Ahmad Black,SS,3,Florida,College Stats,9-May,5'9,184,4.7,35.5,18,119,6.85,4.2,Tampa Bay Buccaneers / 5th / 151st pick / 2011
58,2011,Nate Williams,SS,,Washington,College Stats,1-Jun,6'1,211,4.68,30.5,17,114,6.98,4.15,
59,2011,DeAndre McDaniel,SS,,Clemson,College Stats,Jun-00,6'1,217,4.63,35,,116,,,
60,2010,T.J. Ward,SS,45,Oregon,College Stats,10-May,5'10,211,4.56,34,19,121,,,Cleveland Browns / 2nd / 38th pick / 2010
61,2010,Darrell Stuckey,SS,9,Kansas,College Stats,11-May,5'11,205,4.46,39.5,17,120,,,San Diego Chargers / 4th / 110th pick / 2010
62,2010,Darian Stewart,SS,43,South Carolina,College Stats,11-May,5'11,213,4.53,37,12,122,,4.32,
63,2010,Chad Jones,SS,,LSU,College Stats,Jun-19,6'2,221,4.59,36,9,115,6.83,4.14,New York Giants / 3rd / 76th pick / 2010
64,2010,Kyle McCarthy,SS,0,Notre Dame,College Stats,1-Jun,6'1,205,4.58,34,24,117,6.74,4.13,
65,2010,Reshad Jones,SS,49,Georgia,College Stats,Jun-19,6'1,214,4.51,39.5,24,118,7.43,4.54,Miami Dolphins / 5th / 163rd pick / 2010
66,2010,Cody Grimm,SS,6,Virginia Tech,College Stats,11-May,5'11,203,4.55,35.5,11,117,6.58,,Tampa Bay Buccaneers / 7th / 210th pick / 2010
67,2010,Kurt Coleman,SS,38,Ohio State,College Stats,May-19,5'10,192,4.55,,19,,,,Philadelphia Eagles / 7th / 244th pick / 2010
68,2010,Barry Church,SS,34,Toledo,College Stats,1-Jun,6'1,222,4.69,36,19,121,6.65,4.17,
69,2010,Larry Asante,SS,2,Nebraska,College Stats,1-Jun,6'1,212,4.62,37.5,14,118,7,4.17,Cleveland Browns / 5th / 160th pick / 2010
70,2010,Justin Woodall,SS,,Alabama,College Stats,1-Jun,6'1,223,4.64,34,13,118,6.88,4.17,
71,2010,Myron Rolle,SS,,Florida State,,2-Jun,6'2,215,4.59,36,21,124,6.94,4.15,
72,2010,Lucien Antoine,SS,,Oklahoma State,College Stats,1-Jun,6'1,215,4.62,32,28,120,7.38,4.47,
73,2010,Harry Coleman,SS,,LSU,College Stats,1-Jun,6'1,211,4.56,33,13,115,7.24,4.42,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
