Rk,Year,Player,Pos,AV,School,College,HE,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2015,Maxx Williams,TE,4,Minnesota,College Stats,4-Jun,6'4,249,4.78,34.5,17,117,7.3,4.37,Baltimore Ravens / 2nd / 55th pick / 2015
2,2015,Clive Walford,TE,7,Miami (FL),College Stats,4-Jun,6'4,251,4.79,35,20,120,7.32,4.57,Oakland Raiders / 3rd / 68th pick / 2015
3,2015,Eric Tomlinson,TE,2,Texas-El Paso,College Stats,6-Jun,6'6,263,4.98,30.5,19,110,7.46,4.54,
4,2015,Randall Telfer,TE,0,Southern California,College Stats,4-Jun,6'4,250,4.83,,20,,,,Cleveland Browns / 6th / 198th pick / 2015
5,2015,Jean Sifrin,TE,,Massachusetts,College Stats,5-Jun,6'5,245,4.84,33,,114,7.5,4.6,
6,2015,Wes Saxton,TE,0,South Alabama,College Stats,3-Jun,6'3,248,4.65,36,,119,7.29,4.49,
7,2015,MyCole Pruitt,TE,2,Southern Illinois,,2-Jun,6'2,251,4.58,38,17,118,7.25,4.37,Minnesota Vikings / 5th / 143rd pick / 2015
8,2015,Nick O'Leary,TE,5,Florida State,College Stats,3-Jun,6'3,252,4.93,30.5,21,110,7.4,4.5,Buffalo Bills / 6th / 194th pick / 2015
9,2015,Tyler Kroft,TE,5,Rutgers,College Stats,5-Jun,6'5,246,4.75,,17,,,,Cincinnati Bengals / 3rd / 85th pick / 2015
10,2015,Ben Koyack,TE,1,Notre Dame,College Stats,5-Jun,6'5,255,4.79,,,,,,Jacksonville Jaguars / 7th / 229th pick / 2015
11,2015,Jesse James,TE,10,Penn State,College Stats,7-Jun,6'7,261,4.83,37.5,26,121,7.53,4.5,Pittsburgh Steelers / 5th / 160th pick / 2015
12,2015,Jeff Heuerman,TE,4,Ohio State,College Stats,5-Jun,6'5,254,4.81,,26,,,,Denver Broncos / 3rd / 92nd pick / 2015
13,2015,Gerald Christian,TE,0,Louisville,College Stats,3-Jun,6'3,244,4.87,,28,,7.62,4.7,Arizona Cardinals / 7th / 256th pick / 2015
14,2015,Nick Boyle,TE,5,Delaware,,4-Jun,6'4,268,5.04,30.5,20,112,7.13,4.23,Baltimore Ravens / 5th / 171st pick / 2015
15,2015,E.J. Bibbs,TE,0,Iowa State,College Stats,2-Jun,6'2,258,4.88,,20,,,,
16,2015,Blake Bell,TE,2,Oklahoma,College Stats,6-Jun,6'6,252,4.8,33,14,116,6.85,4.32,San Francisco 49ers / 4th / 117th pick / 2015
17,2015,Rory Anderson,TE,,South Carolina,College Stats,5-Jun,6'5,244,4.73,,,,,,San Francisco 49ers / 7th / 254th pick / 2015
18,2015,AJ Derby,TE,,Arkansas,,4-Jun,6'4,255,4.72,,15,,,,
19,2014,Larry Webster,TE,0,Bloomsburg,,6-Jun,6'6,252,4.58,36.5,17,123,7.29,4.44,Detroit Lions / 4th / 136th pick / 2014
20,2014,Austin Seferian-Jenkins,TE,10,Washington,College Stats,5-Jun,6'5,262,4.75,,20,,,,Tampa Bay Buccaneers / 2nd / 38th pick / 2014
21,2014,Richard Rodgers,TE,13,California,College Stats,4-Jun,6'4,257,4.87,31.5,16,116,7.23,4.47,Green Bay Packers / 3rd / 98th pick / 2014
22,2014,Jacob Pedersen,TE,,Wisconsin,College Stats,3-Jun,6'3,238,4.82,28.5,,111,7.55,4.4,
23,2014,Troy Niklas,TE,1,Notre Dame,College Stats,6-Jun,6'6,270,4.84,32,27,114,7.57,4.55,Arizona Cardinals / 2nd / 52nd pick / 2014
24,2014,Jordan Najvar,TE,,Baylor,College Stats,6-Jun,6'6,256,4.93,32.5,18,112,7.14,4.47,
25,2014,Jake Murphy,TE,,Utah,College Stats,4-Jun,6'4,249,4.79,33,24,114,7.18,4.27,
26,2014,Arthur Lynch,TE,,Georgia,College Stats,5-Jun,6'5,258,4.82,29.5,28,116,7.38,4.35,Miami Dolphins / 5th / 155th pick / 2014
27,2014,Colt Lyerla,TE,,Oregon,College Stats,4-Jun,6'4,242,4.61,39,15,128,,,
28,2014,Marcel Jensen,TE,0,Fresno State,College Stats,6-Jun,6'6,259,4.85,35,24,115,7.38,4.6,
29,2014,Nic Jacobs,TE,0,McNeese State,,5-Jun,6'5,269,4.89,,15,,,,
30,2014,Xavier Grimble,TE,2,Southern California,College Stats,4-Jun,6'4,257,4.76,26.5,,113,,,
31,2014,Crockett Gillmore,TE,4,Colorado State,College Stats,6-Jun,6'6,260,4.89,33.5,,120,7.42,4.44,Baltimore Ravens / 3rd / 99th pick / 2014
32,2014,C.J. Fiedorowicz,TE,6,Iowa,College Stats,5-Jun,6'5,265,4.76,31.5,25,116,7.1,4.26,Houston Texans / 3rd / 65th pick / 2014
33,2014,Eric Ebron,TE,24,North Carolina,College Stats,4-Jun,6'4,250,4.6,32,24,120,,,Detroit Lions / 1st / 10th pick / 2014
34,2014,Rob Blanchflower,TE,,Massachusetts,College Stats,4-Jun,6'4,256,4.82,,,,,,Pittsburgh Steelers / 7th / 230th pick / 2014
35,2014,Jace Amaro,TE,4,Texas Tech,College Stats,5-Jun,6'5,265,4.74,33,28,118,7.42,4.3,New York Jets / 2nd / 49th pick / 2014
36,2014,D.J. Tialavea,TE,,Utah State,College Stats,3-Jun,6'3,267,4.95,,,,,,
37,2014,A.D. Denham,TE,,Kansas,,4-Jun,6'4,235,4.69,32.5,,,,,
38,2014,Joe Don Duncan,TE,,Dixie State,,3-Jun,6'3,268,4.79,,35,,,,
39,2014,A.C. Leonard,TE,,Tennessee State,,2-Jun,6'2,252,4.5,34,20,128,,,
40,2013,Levine Toilolo,TE,8,Stanford,College Stats,8-Jun,6'8,260,4.86,31,17,113,7.09,4.57,Atlanta Falcons / 4th / 133rd pick / 2013
41,2013,Jake Stoneburner,TE,0,Ohio State,College Stats,3-Jun,6'3,252,4.65,34.5,18,116,7.12,4.27,
42,2013,Dion Sims,TE,7,Michigan State,College Stats,5-Jun,6'5,262,4.75,35,22,112,7.36,4.52,Miami Dolphins / 4th / 106th pick / 2013
43,2013,Mychal Rivera,TE,10,Tennessee,College Stats,3-Jun,6'3,242,4.81,31,17,112,7.17,4.43,Oakland Raiders / 6th / 184th pick / 2013
44,2013,Jordan Reed,TE,26,Florida,College Stats,2-Jun,6'2,236,4.72,,16,,,,Washington Redskins / 3rd / 85th pick / 2013
45,2013,Chris Pantale,TE,0,Boston College,College Stats,5-Jun,6'5,254,4.99,33.5,17,110,7.48,4.5,
46,2013,Ryan Otten,TE,,San Jose State,College Stats,5-Jun,6'5,230,4.69,,,,,,
47,2013,Vance McDonald,TE,13,Rice,College Stats,4-Jun,6'4,267,4.69,33.5,31,119,7.08,4.53,San Francisco 49ers / 2nd / 55th pick / 2013
48,2013,Travis Kelce,TE,53,Cincinnati,College Stats,5-Jun,6'5,255,4.63,,,,,,Kansas City Chiefs / 3rd / 63rd pick / 2013
49,2013,Nick Kasa,TE,0,Colorado,College Stats,6-Jun,6'6,269,4.71,31.5,22,113,,,Oakland Raiders / 6th / 172nd pick / 2013
50,2013,D.C. Jefferson,TE,0,Rutgers,College Stats,6-Jun,6'6,255,4.97,,3,,,,Arizona Cardinals / 7th / 219th pick / 2013
Rk,Year,Player,Pos,AV,School,College,Height,#VALUE!,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
51,2013,Chris Gragg,TE,1,Arkansas,College Stats,3-Jun,6'3,244,4.5,37.5,18,125,7.08,4.51,Buffalo Bills / 7th / 222nd pick / 2013
52,2013,Matt Furstenburg,TE,,Maryland,,4-Jun,6'4,242,4.62,35.5,18,115,7.09,4.35,
53,2013,Joseph Fauria,TE,3,UCLA,College Stats,7-Jun,6'7,259,4.82,,17,,,,
54,2013,Gavin Escobar,TE,2,San Diego State,College Stats,6-Jun,6'6,254,4.84,32,,114,7.07,4.31,Dallas Cowboys / 2nd / 47th pick / 2013
55,2013,Zach Ertz,TE,39,Stanford,College Stats,5-Jun,6'5,249,4.76,30.5,24,111,7.08,4.47,Philadelphia Eagles / 2nd / 35th pick / 2013
56,2013,Tyler Eifert,TE,15,Notre Dame,College Stats,5-Jun,6'5,250,4.68,35.5,22,119,6.92,4.32,Cincinnati Bengals / 1st / 21st pick / 2013
57,2013,Justice Cunningham,TE,0,South Carolina,College Stats,3-Jun,6'3,258,4.94,31.5,,116,7.12,4.45,Indianapolis Colts / 7th / 254th pick / 2013
58,2013,Philip Lutzenkirchen,TE,,Auburn,College Stats,3-Jun,6'3,258,4.94,30.5,21,112,7.15,4.35,
59,2012,DeAngelo Peterson,TE,0,LSU,College Stats,3-Jun,6'3,243,4.69,36,18,121,7.19,,
60,2012,David Paulson,TE,1,Oregon,College Stats,3-Jun,6'3,246,4.79,32,21,110,7.18,4.4,Pittsburgh Steelers / 7th / 240th pick / 2012
61,2012,Cory Harkey,TE,1,UCLA,College Stats,4-Jun,6'4,260,5.06,26.5,13,109,7.4,4.69,
62,2012,James Hanna,TE,4,Oklahoma,College Stats,4-Jun,6'4,252,4.43,36,24,122,6.76,4.11,Dallas Cowboys / 6th / 186th pick / 2012
63,2012,Ladarius Green,TE,12,Louisiana-Lafayette,College Stats,6-Jun,6'6,238,4.45,34.5,16,124,7.12,4.47,San Diego Chargers / 4th / 110th pick / 2012
64,2012,Coby Fleener,TE,28,Stanford,College Stats,6-Jun,6'6,247,4.51,,27,,,,Indianapolis Colts / 2nd / 34th pick / 2012
65,2012,Rhett Ellison,TE,9,Southern California,College Stats,5-Jun,6'5,251,4.78,31.5,,109,,,Minnesota Vikings / 4th / 128th pick / 2012
66,2012,Michael Egnew,TE,0,Missouri,College Stats,5-Jun,6'5,252,4.52,36,21,131,7.03,4.32,Miami Dolphins / 3rd / 78th pick / 2012
67,2012,Orson Charles,TE,2,Georgia,College Stats,2-Jun,6'2,251,4.73,,35,,,,Cincinnati Bengals / 4th / 116th pick / 2012
68,2012,Dwayne Allen,TE,13,Clemson,College Stats,3-Jun,6'3,255,4.85,32,27,110,7.12,4.37,Indianapolis Colts / 3rd / 64th pick / 2012
69,2012,Nick Provo,TE,,Syracuse,College Stats,3-Jun,6'3,237,4.76,,,,,,
70,2012,Beau Reliford,TE,,Florida State,College Stats,5-Jun,6'5,256,4.84,,,,,,
71,2011,D.J. Williams,TE,1,Arkansas,College Stats,2-Jun,6'2,245,4.59,33.5,20,111,7.29,4.51,Green Bay Packers / 5th / 141st pick / 2011
72,2011,Julius Thomas,TE,22,Portland State,,5-Jun,6'5,246,4.64,35.5,16,111,6.96,4.31,Denver Broncos / 4th / 129th pick / 2011
73,2011,Luke Stocker,TE,4,Tennessee,College Stats,5-Jun,6'5,258,4.68,33,27,115,7.03,4.4,Tampa Bay Buccaneers / 4th / 104th pick / 2011
74,2011,Lee Smith,TE,4,Marshall,College Stats,6-Jun,6'6,266,4.94,29,25,108,7.13,4.28,New England Patriots / 5th / 159th pick / 2011
75,2011,Weslye Saunders,TE,0,South Carolina,College Stats,5-Jun,6'5,270,4.93,33.5,19,116,,,
76,2011,Kyle Rudolph,TE,34,Notre Dame,College Stats,6-Jun,6'6,259,4.83,,,,,,Minnesota Vikings / 2nd / 43rd pick / 2011
77,2011,Zack Pianalto,TE,0,Michigan State,College Stats,3-Jun,6'3,256,4.78,32,22,108,6.85,4.41,
78,2011,Schuylar Oordt,TE,,Northern Iowa,,6-Jun,6'6,261,4.63,36,18,119,6.83,4.25,
79,2011,Lance Kendricks,TE,18,Wisconsin,College Stats,3-Jun,6'3,243,4.65,34.5,25,122,6.94,4.15,St. Louis Rams / 2nd / 47th pick / 2011
80,2011,Rob Housler,TE,9,Florida Atlantic,College Stats,5-Jun,6'5,248,4.46,37,22,117,6.9,4.21,Arizona Cardinals / 3rd / 69th pick / 2011
81,2011,Daniel Hardy,TE,,Idaho,College Stats,4-Jun,6'4,249,4.78,,18,,,,Tampa Bay Buccaneers / 7th / 238th pick / 2011
82,2011,Virgil Green,TE,8,Nevada,College Stats,3-Jun,6'3,249,4.54,42.5,23,130,6.9,4.4,Denver Broncos / 7th / 204th pick / 2011
83,2011,Cameron Graham,TE,0,Louisville,College Stats,3-Jun,6'3,244,5,31,18,105,7.19,4.51,
84,2011,Jordan Cameron,TE,14,Southern California,College Stats,5-Jun,6'5,254,4.53,37.5,23,119,6.82,4.03,Cleveland Browns / 4th / 102nd pick / 2011
85,2011,Charlie Gantt,TE,,Michigan State,College Stats,4-Jun,6'4,252,4.85,30.5,27,112,7.15,4.4,
86,2010,Andrew Quarless,TE,9,Penn State,College Stats,4-Jun,6'4,254,4.68,32,23,112,,,Green Bay Packers / 5th / 154th pick / 2010
87,2010,Dennis Pitta,TE,17,BYU,College Stats,4-Jun,6'4,245,4.68,34,27,113,6.72,4.17,Baltimore Ravens / 4th / 114th pick / 2010
88,2010,Tony Moeaki,TE,10,Iowa,College Stats,3-Jun,6'3,245,4.69,34,18,113,7.1,4.42,Kansas City Chiefs / 3rd / 93rd pick / 2010
89,2010,Anthony McCoy,TE,4,Southern California,College Stats,4-Jun,6'4,259,4.71,35.5,19,113,6.99,4.57,Seattle Seahawks / 6th / 185th pick / 2010
90,2010,Jeron Mastrud,TE,1,Kansas State,College Stats,5-Jun,6'5,256,4.82,,,,,,
91,2010,Michael Hoomanawanui,TE,5,Illinois,College Stats,4-Jun,6'4,264,4.77,,25,,,,St. Louis Rams / 5th / 132nd pick / 2010
92,2010,Aaron Hernandez,TE,23,Florida,College Stats,2-Jun,6'2,245,4.64,,,,,,New England Patriots / 4th / 113th pick / 2010
93,2010,Rob Gronkowski,TE,82,Arizona,College Stats,6-Jun,6'6,264,4.68,,23,,,,New England Patriots / 2nd / 42nd pick / 2010
94,2010,Jermaine Gresham,TE,32,Oklahoma,College Stats,5-Jun,6'5,261,4.66,35,20,113,7.07,4.53,Cincinnati Bengals / 1st / 21st pick / 2010
95,2010,Jimmy Graham,TE,66,Miami (FL),College Stats,6-Jun,6'6,260,4.53,38.5,,120,6.9,4.45,New Orleans Saints / 3rd / 95th pick / 2010
96,2010,Garrett Graham,TE,7,Wisconsin,College Stats,3-Jun,6'3,243,4.71,34.5,20,112,7.09,4.35,Houston Texans / 4th / 118th pick / 2010
97,2010,Dedrick Epps,TE,0,Miami (FL),College Stats,3-Jun,6'3,250,4.7,,19,,,,San Diego Chargers / 7th / 235th pick / 2010
98,2010,Brody Eldridge,TE,0,Oklahoma,College Stats,5-Jun,6'5,261,4.72,31.5,,,,,Indianapolis Colts / 5th / 162nd pick / 2010
99,2010,Jim Dray,TE,4,Stanford,College Stats,5-Jun,6'5,246,4.82,,17,,,,Arizona Cardinals / 7th / 233rd pick / 2010
100,2010,Ed Dickson,TE,18,Oregon,College Stats,4-Jun,6'4,249,4.59,34,23,115,7.32,4.59,Baltimore Ravens / 3rd / 70th pick / 2010
Rk,Year,Player,Pos,AV,School,College,Height,#VALUE!,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
101,2010,Dorin Dickerson,TE,1,Pittsburgh,College Stats,1-Jun,6'1,226,4.4,43.5,24,125,6.96,4.3,Houston Texans / 7th / 227th pick / 2010
102,2010,Nate Byham,TE,0,Pittsburgh,College Stats,4-Jun,6'4,268,4.97,29,,109,,,San Francisco 49ers / 6th / 182nd pick / 2010
103,2010,Colin Peek,TE,,Alabama,College Stats,5-Jun,6'5,254,4.93,,19,,,,
