Rk,Year,Player,Pos,AV,School,College,HE,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2013,Robert Woods,WR,42,Southern California,College Stats,Jun-00,6'1,201,4.51,33.5,14,117,7.15,4.47,Buffalo Bills / 2nd / 41st pick / 2013
2,2013,Marquess Wilson,WR,6,Washington State,College Stats,3-Jun,6'3,194,4.51,34.5,7,122,6.65,4.33,Chicago Bears / 7th / 236th pick / 2013
3,2013,Terrance Williams,WR,31,Baylor,College Stats,2-Jun,6'2,208,4.52,32.5,11,119,7.01,4.32,Dallas Cowboys / 3rd / 74th pick / 2013
4,2013,Markus Wheaton,WR,13,Oregon State,College Stats,11-May,5'11,189,4.45,37,20,120,6.8,4.02,Pittsburgh Steelers / 3rd / 79th pick / 2013
5,2013,Conner Vernon,WR,,Duke,College Stats,Jun-00,6'1,196,4.68,32.5,,125,6.93,4.22,
6,2013,Kenbrell Thompkins,WR,7,Cincinnati,College Stats,1-Jun,6'1,193,4.54,33.5,8,121,6.88,4.21,
7,2013,Ryan Swope,WR,,Texas A&M,College Stats,Jun-00,6'1,205,4.34,37,16,125,6.76,4.25,Arizona Cardinals / 6th / 174th pick / 2013
8,2013,Kenny Stills,WR,33,Oklahoma,College Stats,Jun-00,6'1,194,4.38,33.5,16,124,,4.35,New Orleans Saints / 5th / 144th pick / 2013
9,2013,Ryan Spadola,WR,0,Lehigh,,1-Jun,6'1,204,4.48,33.5,15,119,6.72,4.07,
10,2013,Rodney Smith,WR,0,Florida State,College Stats,4-Jun,6'4,225,4.51,34.5,,120,7.03,4.07,
11,2013,Ace Sanders,WR,3,South Carolina,College Stats,7-May,5'7,173,4.58,32,7,117,6.81,4.37,Jacksonville Jaguars / 4th / 101st pick / 2013
12,2013,Lanear Sampson,WR,,Baylor,College Stats,11-May,5'11,204,4.46,33.5,20,119,7.1,4.38,
13,2013,Da'Rick Rogers,WR,2,Tennessee Tech,,2-Jun,6'2,217,4.5,39.5,10,132,6.71,4.06,
14,2013,Denard Robinson,WR,8,Michigan,College Stats,10-May,5'10,199,4.43,36.5,,123,7.09,4.22,Jacksonville Jaguars / 5th / 135th pick / 2013
15,2013,Quinton Patton,WR,7,Louisiana Tech,College Stats,Jun-00,6'1,204,4.53,33,8,118,6.91,4.01,San Francisco 49ers / 4th / 128th pick / 2013
16,2013,Cordarrelle Patterson,WR,27,Tennessee,College Stats,2-Jun,6'2,216,4.42,37,,128,,,Minnesota Vikings / 1st / 29th pick / 2013
17,2013,T.J. Moe,WR,,Missouri,College Stats,11-May,5'11,204,4.74,36,26,120,6.53,3.96,
18,2013,Aaron Mellette,WR,,Elon,,2-Jun,6'2,217,4.54,33.5,9,123,7.11,4.41,Baltimore Ravens / 7th / 238th pick / 2013
19,2013,Alec Lemon,WR,,Syracuse,College Stats,1-Jun,6'1,202,4.59,32,7,112,7.04,4.29,
20,2013,Tavarres King,WR,2,Georgia,College Stats,Jun-00,6'1,189,4.47,36.5,11,123,6.91,4.33,Denver Broncos / 5th / 161st pick / 2013
21,2013,Brandon Kaufman,WR,,Eastern Washington,,5-Jun,6'5,216,4.67,33.5,9,115,7.11,4.44,
22,2013,Darius Johnson,WR,2,Southern Methodist,College Stats,9-May,5'9,179,4.6,32,6,109,,4.53,
23,2013,Justin Hunter,WR,10,Tennessee,College Stats,4-Jun,6'4,196,4.44,39.5,,136,,4.33,Tennessee Titans / 2nd / 34th pick / 2013
24,2013,DeAndre Hopkins,WR,57,Clemson,College Stats,1-Jun,6'1,214,4.57,36,15,115,,4.5,Houston Texans / 1st / 27th pick / 2013
25,2013,Mark Harrison,WR,,Rutgers,College Stats,3-Jun,6'3,231,4.46,38.5,17,129,6.99,4.33,
26,2013,Chris Harper,WR,0,Kansas State,College Stats,1-Jun,6'1,229,4.55,35.5,20,116,6.89,4.39,Seattle Seahawks / 4th / 123rd pick / 2013
27,2013,Cobi Hamilton,WR,2,Arkansas,College Stats,2-Jun,6'2,212,4.56,29.5,11,107,,4.31,Cincinnati Bengals / 6th / 197th pick / 2013
28,2013,Marquise Goodwin,WR,17,Texas,College Stats,9-May,5'9,183,4.27,,13,132,,,Buffalo Bills / 3rd / 78th pick / 2013
29,2013,Corey Fuller,WR,3,Virginia Tech,College Stats,2-Jun,6'2,204,4.43,31.5,12,120,,,Detroit Lions / 6th / 171st pick / 2013
30,2013,Aaron Dobson,WR,6,Marshall,College Stats,3-Jun,6'3,210,4.37,,,,,,New England Patriots / 2nd / 59th pick / 2013
31,2013,Marcus Davis,WR,,Virginia Tech,College Stats,3-Jun,6'3,233,4.56,39.5,19,120,7.15,,
32,2013,Marlon Brown,WR,7,Georgia,College Stats,4-Jun,6'4,213,4.63,,,,,,
33,2013,Josh Boyce,WR,1,TCU,College Stats,11-May,5'11,206,4.38,34,22,131,6.68,4.1,New England Patriots / 4th / 102nd pick / 2013
34,2013,Alan Bonner,WR,,Jacksonville State,,10-May,5'10,193,4.59,33,14,117,,4.15,Houston Texans / 6th / 195th pick / 2013
35,2013,Stedman Bailey,WR,7,West Virginia,College Stats,10-May,5'10,193,4.52,34.5,11,117,6.81,4.09,St. Louis Rams / 3rd / 92nd pick / 2013
36,2013,Tavon Austin,WR,26,West Virginia,College Stats,8-May,5'8,174,4.34,32,14,120,,4.01,St. Louis Rams / 1st / 8th pick / 2013
37,2013,Keenan Allen,WR,46,California,College Stats,2-Jun,6'2,206,4.58,,,,,,San Diego Chargers / 3rd / 76th pick / 2013
38,2013,Tyrone Goard,WR,,Eastern Kentucky,,4-Jun,6'4,205,4.5,36,10,123,6.9,4.39,
39,2012,Devon Wylie,WR,0,Fresno State,College Stats,9-May,5'9,187,4.36,39,17,123,,,Kansas City Chiefs / 4th / 107th pick / 2012
40,2012,Kendall Wright,WR,31,Baylor,College Stats,10-May,5'10,196,4.49,38.5,,121,6.93,4.18,Tennessee Titans / 1st / 20th pick / 2012
41,2012,Jarius Wright,WR,24,Arkansas,College Stats,10-May,5'10,182,4.39,38,11,120,6.93,4.03,Minnesota Vikings / 4th / 118th pick / 2012
42,2012,Jordan White,WR,0,Western Michigan,College Stats,Jun-00,6'1,208,4.63,35,14,119,6.84,4.13,New York Jets / 7th / 244th pick / 2012
43,2012,Nick Toon,WR,3,Wisconsin,College Stats,2-Jun,6'2,215,4.49,37.5,18,,,,New Orleans Saints / 4th / 122nd pick / 2012
44,2012,Tommy Streeter,WR,0,Miami (FL),College Stats,5-Jun,6'5,219,4.37,33,17,125,7.08,,Baltimore Ravens / 6th / 198th pick / 2012
45,2012,Mohamed Sanu,WR,40,Rutgers,College Stats,1-Jun,6'1,211,4.62,36,19,126,6.88,4.22,Cincinnati Bengals / 3rd / 83rd pick / 2012
46,2012,James Rodgers,WR,0,Oregon State,College Stats,7-May,5'7,184,4.61,37,19,115,,4.23,
47,2012,Rueben Randle,WR,22,LSU,College Stats,3-Jun,6'3,210,4.55,31,15,121,6.99,4.36,New York Giants / 2nd / 63rd pick / 2012
48,2012,Brian Quick,WR,12,Appalachian State,,3-Jun,6'3,220,4.5,34,15,119,7.1,4.23,St. Louis Rams / 2nd / 33rd pick / 2012
49,2012,DeVier Posey,WR,2,Ohio State,College Stats,2-Jun,6'2,211,4.39,36.5,14,123,7.03,4.15,Houston Texans / 3rd / 68th pick / 2012
50,2012,Eric Page,WR,1,Toledo,College Stats,9-May,5'9,186,4.5,30,15,112,6.95,3.98,
51,2012,Chris Owusu,WR,3,Stanford,College Stats,Jun-00,6'1,196,4.36,40.5,19,129,6.85,4.11,
52,2012,Derek Moye,WR,0,Penn State,College Stats,4-Jun,6'4,209,4.46,33.5,10,115,,4.23,
53,2012,Kashif Moore,WR,0,Connecticut,College Stats,9-May,5'9,180,4.36,43.5,19,126,6.82,4.05,
54,2012,Marvin McNutt,WR,0,Iowa,College Stats,3-Jun,6'3,216,4.48,37,,122,7.15,4.07,Philadelphia Eagles / 6th / 194th pick / 2012
55,2012,Rishard Matthews,WR,26,Nevada,College Stats,Jun-00,6'1,217,4.54,36,20,,6.88,4.19,Miami Dolphins / 7th / 227th pick / 2012
56,2012,Keshawn Martin,WR,7,Michigan State,College Stats,11-May,5'11,188,4.42,39.5,13,122,6.85,4.13,Houston Texans / 4th / 121st pick / 2012
57,2012,Jermaine Kearse,WR,30,Washington,College Stats,1-Jun,6'1,209,4.5,34,14,119,7.03,4.12,
58,2012,Marvin Jones,WR,39,California,College Stats,2-Jun,6'2,199,4.46,33,22,112,6.81,4.11,Cincinnati Bengals / 5th / 166th pick / 2012
59,2012,Dwight Jones,WR,,North Carolina,College Stats,3-Jun,6'3,230,4.51,33,14,109,,,
60,2012,A.J. Jenkins,WR,2,Illinois,College Stats,Jun-00,6'1,190,4.37,38.5,12,124,,,San Francisco 49ers / 1st / 30th pick / 2012
61,2012,Alshon Jeffery,WR,52,South Carolina,College Stats,3-Jun,6'3,216,4.48,,,,,,Chicago Bears / 2nd / 45th pick / 2012
62,2012,Jerrell Jackson,WR,0,Missouri,College Stats,Jun-00,6'1,196,4.5,41,22,127,6.82,4.11,
63,2012,T.Y. Hilton,WR,72,Florida International,College Stats,9-May,5'9,183,4.34,,,,,,Indianapolis Colts / 3rd / 92nd pick / 2012
64,2012,Stephen Hill,WR,4,Georgia Tech,College Stats,4-Jun,6'4,215,4.36,39.5,14,133,6.88,4.48,New York Jets / 2nd / 43rd pick / 2012
65,2012,Junior Hemingway,WR,2,Michigan,College Stats,1-Jun,6'1,225,4.48,35.5,21,124,6.59,3.98,Kansas City Chiefs / 7th / 238th pick / 2012
66,2012,Darius Hanks,WR,0,Alabama,College Stats,Jun-00,6'1,184,4.52,34,11,117,,,
67,2012,T.J. Graham,WR,7,North Carolina State,College Stats,11-May,5'11,188,4.34,33.5,8,120,6.77,4.18,Buffalo Bills / 3rd / 69th pick / 2012
68,2012,Chris Givens,WR,13,Wake Forest,College Stats,11-May,5'11,198,4.35,33.5,19,118,6.97,4.23,St. Louis Rams / 4th / 96th pick / 2012
69,2012,Jeff Fuller,WR,0,Texas A&M,College Stats,4-Jun,6'4,223,4.53,,17,,,,
70,2012,Michael Floyd,WR,31,Notre Dame,College Stats,3-Jun,6'3,220,4.4,36.5,16,122,,,Arizona Cardinals / 1st / 13th pick / 2012
71,2012,Patrick Edwards,WR,0,Houston,College Stats,9-May,5'9,172,4.57,,,,,,
72,2012,B.J. Cunningham,WR,0,Michigan State,College Stats,1-Jun,6'1,211,4.52,31.5,12,116,7.1,,Miami Dolphins / 6th / 183rd pick / 2012
73,2012,Juron Criner,WR,1,Arizona,College Stats,2-Jun,6'2,224,4.66,38,17,117,7.15,4.3,Oakland Raiders / 5th / 168th pick / 2012
74,2012,Josh Cooper,WR,1,Oklahoma State,College Stats,11-May,5'11,190,4.65,,11,,,,
75,2012,Danny Coale,WR,0,Virginia Tech,College Stats,Jun-00,6'1,201,4.42,35,12,115,6.69,4.15,Dallas Cowboys / 5th / 152nd pick / 2012
76,2012,Greg Childs,WR,0,Arkansas,College Stats,3-Jun,6'3,219,4.52,36.5,19,125,,,Minnesota Vikings / 4th / 134th pick / 2012
77,2012,Ryan Broyles,WR,3,Oklahoma,College Stats,10-May,5'10,192,4.57,,21,,,,Detroit Lions / 2nd / 54th pick / 2012
78,2012,LaVon Brazill,WR,3,Ohio,College Stats,11-May,5'11,192,4.43,32.5,11,,,,Indianapolis Colts / 6th / 206th pick / 2012
79,2012,Jarrett Boykin,WR,6,Virginia Tech,College Stats,2-Jun,6'2,217,4.62,36,11,123,7.12,4.28,
80,2012,Justin Blackmon,WR,9,Oklahoma State,College Stats,1-Jun,6'1,207,4.46,,14,,,,Jacksonville Jaguars / 1st / 5th pick / 2012
81,2012,Travis Benjamin,WR,28,Miami (FL),College Stats,10-May,5'10,172,4.31,38,14,119,,,Cleveland Browns / 4th / 100th pick / 2012
82,2012,Tim Benford,WR,0,Tennessee Tech,,11-May,5'11,205,4.51,,15,,,,
83,2012,Joe Adams,WR,0,Arkansas,College Stats,11-May,5'11,179,4.51,36,,123,7.09,,Carolina Panthers / 4th / 104th pick / 2012
84,2012,Gerell Robinson,WR,,Arizona State,College Stats,3-Jun,6'3,227,4.54,35.5,,113,,4.15,
85,2012,Marquis Maze,WR,,Alabama,College Stats,8-May,5'8,186,4.51,33.5,,112,,,
86,2011,Titus Young,WR,8,Boise State,College Stats,11-May,5'11,174,4.43,,,123,,,Detroit Lions / 2nd / 44th pick / 2011
87,2011,Ryan Whalen,WR,0,Stanford,College Stats,1-Jun,6'1,202,4.53,38.5,18,123,6.67,4.09,Cincinnati Bengals / 6th / 167th pick / 2011
88,2011,Terrence Toliver,WR,,Michigan State,College Stats,3-Jun,6'3,212,4.52,32,,122,6.48,4.03,
89,2011,Owen Spencer,WR,,North Carolina State,College Stats,2-Jun,6'2,195,4.51,37.5,6,125,6.86,4.18,
90,2011,Torrey Smith,WR,43,Maryland,College Stats,1-Jun,6'1,204,4.41,41,19,126,6.72,4.13,Baltimore Ravens / 2nd / 58th pick / 2011
91,2011,Keith Smith,WR,1,Purdue,College Stats,2-Jun,6'2,214,4.65,,,,,,
92,2011,Cecil Shorts,WR,20,Mount Union,,Jun-00,6'1,205,4.5,34.5,21,114,6.5,4.07,Jacksonville Jaguars / 4th / 114th pick / 2011
